id,population,jobs,schools
89a881a5b37ffff,1365,88,1
89a88cdb28fffff,1306,1384,0
89a88cd94d7ffff,1449,285,0
89a881a5b53ffff,33,923,0
89a88cdb2abffff,600,6249,0
89a881a5b6fffff,129,93,0
89a88cdb2c7ffff,1856,97,1
89a88cd8617ffff,425,289,1
89a88cd950fffff,1181,188,0
89a88cd8633ffff,302,161,0
89a88cd952bffff,1539,173,1
89a88cd864fffff,1415,63,0
89a88cd9547ffff,1517,210,1
89a88cdb31bffff,113,609,0
89a88cd866bffff,1545,50,0
89a88cd9563ffff,1337,155,0
89a881ae96bffff,17,0,0
89a88cdb337ffff,1331,97,0
89a88cd8687ffff,1195,834,0
89a88cdb353ffff,994,673,0
89a88cd86a3ffff,1273,992,0
89a88cd959bffff,1478,21,0
89a88cdb36fffff,1382,235,1
89a88cd95b7ffff,1022,219,0
89a88cdb38bffff,1191,9295,0
89a88cd86dbffff,288,97,0
89a88cd95d3ffff,1211,310,0
89a88cdb3a7ffff,429,492,1
89a88cdb3c3ffff,263,556,0
89a88cdb417ffff,119,46,0
89a88cdb433ffff,967,166,0
89a88cdb44fffff,2001,672,0
89a88cd9697ffff,1030,58,0
89a88cdb46bffff,1556,1088,0
89a88cd96b3ffff,1083,218,0
89a88cd805bffff,441,868,0
89a88cdb487ffff,573,248,0
89a881acd03ffff,0,0,0
89a88cdb4a3ffff,829,72,0
89a88cd8093ffff,685,225,1
89a881acd3bffff,16,0,0
89a88cdb4dbffff,2,0,0
89a88cd80cbffff,682,28,0
89a881acd73ffff,0,0,0
89a88cdb513ffff,2023,798,0
89a881acd8fffff,0,0,0
89a88cdb52fffff,2207,773,0
89a88cda653ffff,1143,86,1
89a881acdabffff,1511,3,0
89a88cdb54bffff,2638,1060,0
89a88cda66fffff,1036,77,0
89a88cd9017ffff,1547,64,0
89a88cdb567ffff,2253,440,0
89a88cd9033ffff,1194,139,0
89a88cdb583ffff,1569,157,1
89a88cdb5bbffff,1341,212,1
89a88cd9087ffff,2410,81,0
89a88cdb5d7ffff,377,693,0
89a88cd90a3ffff,1248,300,1
89a88cdb60fffff,1164,665,0
89a88cd90dbffff,906,102,0
89a88cdb62bffff,2031,742,0
89a88cd821bffff,246,488,0
89a88cdb647ffff,770,4,0
89a88cd9113ffff,989,19,0
89a88cdb663ffff,1749,283,1
89a88cd8253ffff,800,472,0
89a88cdb69bffff,28,1,0
89a88cd828bffff,1193,175,0
89a88cdb6b7ffff,2243,585,0
89a88cd9183ffff,1515,50,0
89a88cdb6d3ffff,129,112,0
89a88cd82c3ffff,803,168,0
89a88cd91bbffff,1292,86,0
89a88cd91d7ffff,1738,193,0
89a88cdb01bffff,697,4401,0
89a88cdb037ffff,1312,607,1
89a88cdb053ffff,1657,1881,0
89a88cdb06fffff,3137,4044,0
89a88cdb08bffff,1727,415,1
89a881ac907ffff,1267,205,1
89a88cdb0a7ffff,493,2216,0
89a881ac923ffff,1160,181,1
89a88cdb0c3ffff,708,1266,0
89a88cd8413ffff,1206,605,0
89a88cd842fffff,1305,97,0
89a88cda203ffff,978,61,0
89a88cd844bffff,1266,221,0
89a881ac977ffff,1283,17,0
89a88cdb117ffff,1306,582,0
89a88cd8467ffff,998,118,1
89a88cda23bffff,11,20,0
89a881ac993ffff,173,0,0
89a88cdb133ffff,676,334,1
89a88cd8483ffff,1542,279,0
89a88cda257ffff,1455,146,0
89a881ac9afffff,1277,189,0
89a88cdb14fffff,151,2349,0
89a88cda273ffff,912,2013,2
89a88cdb16bffff,699,512,1
89a88cd84bbffff,1363,438,0
89a88cda28fffff,507,75,0
89a881a5a2fffff,266,134,0
89a88cdb187ffff,1465,755,0
89a88cd84d7ffff,2541,332,0
89a88cda2abffff,14,0,0
89a88cdb1a3ffff,1198,309,0
89a88cda2c7ffff,1675,131,2
89a881a5a67ffff,1069,143,0
89a88cd9407ffff,1760,147,0
89a88cdb1dbffff,1083,2985,0
89a88cd9423ffff,2029,185,0
89a88cdb213ffff,1792,242,2
89a88cd945bffff,1042,176,1
89a88cdb22fffff,1698,532,1
89a88cda353ffff,587,63,0
89a88cd9477ffff,389,93,0
89a88cdb24bffff,1367,96,0
89a88cd9493ffff,1402,182,0
89a881a5b0fffff,147,1694,0
89a88cdb267ffff,1044,504,1
89a88cd94afffff,1671,798,0
89a881a5b2bffff,710,655,0
89a88cdb283ffff,918,670,0
89a88cd94cbffff,920,62,0
89a881a5b47ffff,189,2330,0
89a881a5b63ffff,101,278,0
89a88cdb2bbffff,1680,3721,0
89a88cd860bffff,1446,154,0
89a88cd9503ffff,1049,126,1
89a88cdb2d7ffff,1677,59,1
89a88cd8627ffff,952,135,0
89a881ae927ffff,819,23,0
89a88cd8643ffff,1728,43,0
89a88cd953bffff,1053,139,0
89a88cdb30fffff,881,278,0
89a88cd9557ffff,1683,455,0
89a88cdb32bffff,1040,233,0
89a88cd867bffff,1480,111,1
89a88cd9573ffff,1322,215,0
89a88cdb347ffff,1422,686,0
89a88cd8697ffff,957,507,0
89a88cd958fffff,1224,45,0
89a88cdb363ffff,1275,167,0
89a88cd86b3ffff,1612,418,0
89a88cd95abffff,1056,159,1
89a88cd86cfffff,1518,148,0
89a88cd95c7ffff,1233,248,0
89a88cdb39bffff,3708,6380,1
89a88cdb3b7ffff,466,791,0
89a88cdb3d3ffff,19,0,0
89a88cd9637ffff,1135,639,0
89a88cdb40bffff,2354,494,0
89a88cdb427ffff,1372,562,1
89a88cd8017ffff,966,22,0
89a88cdb443ffff,1353,537,0
89a88cd968bffff,1231,194,1
89a88cd96a7ffff,1141,286,0
89a88cd804fffff,0,0,0
89a88cdb47bffff,1628,869,0
89a88cd806bffff,1,288,0
89a88cdb497ffff,334,48,0
89a88cd8087ffff,1559,23,0
89a88cdb4b3ffff,891,981,0
89a881acd2fffff,538,18,0
89a88cdb4cfffff,80,64,0
89a88cda60fffff,1277,250,0
89a881acd67ffff,0,0,0
89a88cd80dbffff,1045,35,0
89a88cdb507ffff,1916,20,0
89a88cda62bffff,1075,16,0
89a88cdb523ffff,1678,927,1
89a88cda647ffff,1129,28,0
89a88cda663ffff,813,475,1
89a88cd900bffff,1024,136,0
89a881acdbbffff,554,0,0
89a88cdb55bffff,1906,1577,0
89a88cdb577ffff,2138,253,0
89a88cdb593ffff,450,438,1
89a88cdb5afffff,1850,202,0
89a88cdb5cbffff,517,77,0
89a88cd9097ffff,1691,400,0
89a88cd90b3ffff,2365,227,0
89a88cdb603ffff,957,775,1
89a88cd90cfffff,865,65,0
89a88cd820fffff,419,604,0
89a88cdb63bffff,1749,678,0
89a88cdb657ffff,71,8,0
89a88cd8247ffff,139,853,0
89a88cdb673ffff,1526,383,1
89a88cdb68fffff,794,318,0
89a88cdb6abffff,2501,480,0
89a88cd829bffff,1118,107,1
89a88cdb6c7ffff,259,2,0
89a88cd9193ffff,1793,76,1
89a88cd82b7ffff,0,0,0
89a88cd82d3ffff,1067,190,0
89a88cd91cbffff,872,232,0
89a88cdb00fffff,1193,1126,0
89a88cdb02bffff,1661,2337,0
89a88cdb047ffff,1629,2401,0
89a88cdb063ffff,1917,4151,1
89a88cdb09bffff,1502,668,0
89a881ac917ffff,1261,71,1
89a88cdb0b7ffff,189,353,0
89a881ac933ffff,1181,168,0
89a88cdb0d3ffff,1086,1818,1
89a88cd8423ffff,634,14,0
89a88cda213ffff,1439,219,0
89a88cdb10bffff,326,4517,0
89a88cd845bffff,1033,413,0
89a88cda22fffff,2351,652,0
89a881ac987ffff,1463,13,0
89a88cdb127ffff,1706,195,0
89a88cd8477ffff,879,86,1
89a88cda24bffff,1397,524,1
89a881ac9a3ffff,1022,235,0
89a88cdb143ffff,453,1747,2
89a88cd8493ffff,724,226,0
89a88cda267ffff,704,929,0
89a88cd84afffff,212,58,0
89a88cda283ffff,899,169,1
89a88cdb17bffff,139,890,0
89a88cd84cbffff,1736,148,0
89a88cdb197ffff,1801,534,0
89a88cda2bbffff,891,156,0
89a88cdb1b3ffff,1807,381,1
89a88cda2d7ffff,1374,75,0
89a88cdb1cfffff,414,1978,0
89a88cd9417ffff,1395,64,1
89a88cd9433ffff,1711,190,0
89a88cdb207ffff,658,3000,0
89a88cd944fffff,467,3,0
89a88cdb223ffff,1548,494,0
89a88cd946bffff,732,124,0
89a88cd9487ffff,1445,1297,0
89a881a5b03ffff,555,1071,0
89a88cdb25bffff,1377,13,0
89a88cd94a3ffff,1696,115,0
89a88cdb277ffff,923,51,0
89a881a5b3bffff,847,261,0
89a88cdb293ffff,1740,501,1
89a88cd94dbffff,809,114,0
89a881a5b57ffff,0,1813,0
89a88cdb2afffff,63,1529,0
89a881a5b73ffff,48,578,0
89a88cdb2cbffff,1919,6,0
89a88cd861bffff,1152,101,1
89a88cd9513ffff,1394,71,0
89a88cd8637ffff,875,137,0
89a88cd952fffff,1572,91,1
89a881ae937ffff,1,0,0
89a88cdb303ffff,121,1311,0
89a88cd8653ffff,1698,321,4
89a88cd954bffff,2139,282,0
89a88cd866fffff,1203,324,0
89a88cd9567ffff,1382,122,0
89a881ae96fffff,148,6,0
89a88cdb33bffff,889,334,0
89a88cd868bffff,774,596,0
89a88cd9583ffff,1633,16,0
89a88cdb357ffff,667,72,0
89a88cd86a7ffff,1281,89,1
89a881ae9a7ffff,13,20,0
89a88cdb373ffff,1639,920,0
89a88cd86c3ffff,842,208,0
89a88cd95bbffff,963,181,1
89a88cdb38fffff,1351,6161,1
89a88cd95d7ffff,1474,61,0
89a88cdb3abffff,825,657,0
89a88cdb3c7ffff,1296,5845,0
89a88cdb41bffff,471,86,0
89a88cd800bffff,37,175,0
89a88cdb437ffff,1514,428,0
89a88cdb453ffff,190,14,0
89a88cd969bffff,1276,72,1
89a88cd8043ffff,4,451,0
89a88cdb46fffff,2009,721,0
89a88cd96b7ffff,1201,14,0
89a88cdb48bffff,76,110,0
89a881acd07ffff,61,0,0
89a88cd807bffff,3,0,0
89a88cdb4a7ffff,401,100,0
89a881acd23ffff,916,4,0
89a88cd8097ffff,1378,79,0
89a88cdb4c3ffff,217,6,0
89a881aeb2fffff,0,0,0
89a88cd80cfffff,64,104,0
89a881acd77ffff,0,0,0
89a88cdb517ffff,1430,23,0
89a88cda63bffff,1346,192,1
89a881acd93ffff,0,0,0
89a88cdb533ffff,1364,173,0
89a88cda657ffff,867,104,0
89a881acdafffff,1925,2,0
89a88cdb54fffff,1240,193,0
89a88cda673ffff,785,182,0
89a88cd901bffff,681,495,0
89a88cdb56bffff,1345,443,0
89a88cd9037ffff,92,3819,0
89a88cdb587ffff,1048,400,0
89a88cd9053ffff,698,195,0
89a88cdb5a3ffff,1530,150,0
89a88cd908bffff,367,33,0
89a88cdb5dbffff,687,152,0
89a88cd90a7ffff,956,1927,1
89a88cd90c3ffff,592,123,0
89a88cdb613ffff,361,59,0
89a88cd8203ffff,327,764,1
89a88cdb62fffff,1307,1201,1
89a88cd9117ffff,873,165,0
89a88cd823bffff,0,0,0
89a88cdb667ffff,1780,235,0
89a88cd8257ffff,644,408,0
89a88cdb683ffff,213,3,0
89a88cd8273ffff,162,1363,0
89a88cd828fffff,487,1265,0
89a88cdb6bbffff,2067,191,0
89a88cd9187ffff,989,171,0
89a88cd82abffff,29,0,0
89a88cdb6d7ffff,96,1,0
89a88cd82c7ffff,2021,246,1
89a88cd91dbffff,1715,553,0
89a88cdb003ffff,1371,1731,0
89a88cdb03bffff,2160,2375,0
89a88cdb057ffff,820,5244,1
89a88cdb073ffff,1105,822,1
89a88cdb08fffff,1466,627,1
89a881ac90bffff,1280,27,0
89a88cdb0abffff,1218,2360,0
89a881ac927ffff,1176,239,1
89a88cdb0c7ffff,841,2813,0
89a88cd8417ffff,1043,211,0
89a88cd8433ffff,0,0,0
89a88cda207ffff,36,27,1
89a88cd844fffff,1680,131,0
89a88cda223ffff,522,104,0
89a881ac97bffff,2945,256,0
89a88cdb11bffff,490,1674,0
89a88cd846bffff,1648,117,0
89a881ac997ffff,1491,79,1
89a88cdb137ffff,1291,369,0
89a88cd8487ffff,1437,208,0
89a88cda25bffff,1572,582,0
89a881ac9b3ffff,1332,124,2
89a88cdb153ffff,475,4059,0
89a88cd84a3ffff,936,538,0
89a88cda277ffff,799,317,0
89a881ac9cfffff,784,32,0
89a88cdb16fffff,1154,1384,0
89a88cda293ffff,930,360,0
89a88cdb18bffff,1049,1634,0
89a88cd84dbffff,1035,263,0
89a88cda2afffff,109,188,1
89a88cdb1a7ffff,336,131,0
89a88cda2cbffff,1846,630,0
89a881a5a6bffff,245,61,0
89a88cdb1c3ffff,971,2028,1
89a88cd940bffff,1760,43,0
89a88cd9427ffff,1448,807,0
89a88cd9443ffff,72,0,0
89a88cdb217ffff,835,4213,0
89a88cdb233ffff,409,2326,0
89a88cd947bffff,1028,221,0
89a88cdb24fffff,1443,286,1
89a88cd9497ffff,1300,1073,0
89a88cdb26bffff,1237,895,0
89a88cd94b3ffff,1391,199,0
89a881a5b2fffff,1371,211,0
89a88cdb287ffff,1508,2077,0
89a88cd94cfffff,416,278,0
89a881a5b4bffff,557,966,0
89a88cdb2a3ffff,354,3901,0
89a881a5b67ffff,149,89,0
89a88cd860fffff,771,247,2
89a88cd9507ffff,1130,178,0
89a88cdb2dbffff,2951,52,1
89a88cd862bffff,496,306,0
89a88cd9523ffff,1312,137,0
89a88cd8647ffff,1510,7,0
89a88cdb313ffff,498,7844,0
89a88cd8663ffff,1308,198,1
89a88cd955bffff,1783,756,0
89a881ae963ffff,18,0,0
89a88cdb32fffff,676,276,2
89a88cd9577ffff,1204,257,1
89a88cdb34bffff,1479,593,0
89a88cd869bffff,1450,916,1
89a88cd9593ffff,1093,356,0
89a88cdb367ffff,1406,145,0
89a88cd86b7ffff,1456,342,0
89a88cd95afffff,984,116,0
89a88cdb383ffff,1549,2653,0
89a88cd86d3ffff,342,585,0
89a88cd95cbffff,1556,46,0
89a88cdb3bbffff,408,1181,1
89a88cdb3d7ffff,833,3019,0
89a88cdb40fffff,2763,1793,0
89a88cdb42bffff,2424,58,0
89a88cd801bffff,81,825,0
89a88cdb447ffff,2014,275,0
89a88cd968fffff,1230,154,0
89a88cdb463ffff,1507,1105,0
89a88cd96abffff,1638,42,0
89a88cd8053ffff,370,351,0
89a88cdb49bffff,307,10,0
89a881acd17ffff,79,0,0
89a88cd808bffff,79,372,0
89a88cdb4b7ffff,436,32,0
89a881acd33ffff,1172,1,0
89a88cdb4d3ffff,168,241,0
89a88cd80c3ffff,529,91,0
89a881acd6bffff,58,0,0
89a88cdb50bffff,1322,848,0
89a88cda62fffff,1741,14,0
89a881acd87ffff,13,0,0
89a88cdb527ffff,1094,401,0
89a88cda64bffff,2185,52,0
89a881acda3ffff,2232,77,1
89a88cdb543ffff,2286,514,0
89a88cda667ffff,997,314,0
89a88cd900fffff,939,85,0
89a88cdb65bffff,0,0,0
89a881acd97ffff,0,0,0
89a88cdb653ffff,0,0,0
89a881acd83ffff,0,0,0
89a88cdb64bffff,270,0,0
89a88cdb693ffff,3,0,0
89a881ae977ffff,4,0,0
89a881ae92bffff,0,0,0
89a88cd82a7ffff,0,0,0
89a881ae93bffff,0,0,0
89a881ae973ffff,0,0,0
89a881ae97bffff,0,0,0
89a881ae9abffff,0,0,0
89a881ae907ffff,0,0,0
89a881ae933ffff,0,0,0
89a881acd1bffff,0,0,0
89a881acd47ffff,0,0,0
89a881acd57ffff,0,0,0
89a881acdc7ffff,0,0,0
89a881aeb33ffff,0,0,0
89a881aeb2bffff,0,0,0
89a881aeb67ffff,0,0,0
89a881aeb23ffff,0,0,0
89a881acd8bffff,0,0,0
89a881acd9bffff,0,0,0
89a88cda35bffff,428,3,0
89a881ae92fffff,12,0,0
89a881ae923ffff,9,0,0
89a881ae9afffff,0,0,0
89a88cd8407ffff,368,32,0
89a881aebafffff,5,0,0
